"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\category.feature: 카테고리 탭 진입 및 탭 메뉴 확인","115477","test_카테고리_탭_진입_및_탭_메뉴_확인","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_category_bdd","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\search.feature: 키워드 검색 후 결과 표시","2622","test_키워드_검색_후_결과_표시","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_search_bdd","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\home.feature: 홈 화면 필수 UI 요소 표시","50632","test_홈_화면_필수_ui_요소_표시[\uc0c1\ud488 \uc139\uc158 \ud0ed]","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_home_bdd","",""
"뷰티컬리 탭으로 전환되는지 확인","1518","test_beauty_kurly_tab_switch","src.tests","2026-09-13","passed","2026-09-13","","test_category","",""
"앱 실행 후 홈 화면(하단 탭바)이 표시되는지 확인","30674","test_home_is_loaded","src.tests","2026-09-13","passed","2026-09-13","","test_home","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\search.feature: 검색 탭 진입 후 검색창 표시","113160","test_검색_탭_진입_후_검색창_표시","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_search_bdd","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\home.feature: 홈 화면 스크롤 후 탭바 유지","6567","test_홈_화면_스크롤_후_탭바_유지","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_home_bdd","",""
"홈 화면에서 스크롤 후 다시 올라와도 하단 탭바가 유지되는지 확인","34154","test_home_scroll_down_and_back","src.tests","2026-09-13","passed","2026-09-13","","test_home","",""
"홈 화면에 상품 카테고리 탭(베스트 등)이 표시되는지 확인","50752","test_home_has_products","src.tests","2026-09-13","passed","2026-09-13","","test_home","",""
"카테고리 탭 진입 후 마켓컬리 탭 헤더가 표시되는지 확인","659","test_category_tab_opens","src.tests","2026-09-13","passed","2026-09-13","","test_category","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\navigation.feature: 검색 탭에서 카테고리 탭으로 이동","89483","test_검색_탭에서_카테고리_탭으로_이동","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_navigation_bdd","",""
"카테고리 목록(채소 등)이 표시되는지 확인","641","test_category_list_visible","src.tests","2026-09-13","passed","2026-09-13","","test_category","",""
"장바구니 화면을 닫으면 화면이 사라지는지 확인","21197","test_cart_can_close","src.tests","2026-09-13","passed","2026-09-13","","test_cart","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\home.feature: 홈 화면 필수 UI 요소 표시","30938","test_홈_화면_필수_ui_요소_표시[\uc0c1\ub2e8 \ubc30\ub108]","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_home_bdd","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\home.feature: 홈 화면 필수 UI 요소 표시","60691","test_홈_화면_필수_ui_요소_표시[\ud558\ub2e8 \ud0ed\ubc14]","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_home_bdd","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\navigation.feature: 카테고리 탭에서 홈 탭으로 복귀","194510","test_카테고리_탭에서_홈_탭으로_복귀","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_navigation_bdd","",""
"C:\actions-runner\_work\KurlyApp\KurlyApp\src\tests\bdd\features\category.feature: 뷰티컬리 탭 전환","3517","test_뷰티컬리_탭_전환","src.tests.bdd","2026-09-13","passed","2026-09-13","","test_category_bdd","",""
"홈 화면 우측 상단 아이콘으로 장바구니 화면이 열리는지 확인","3041","test_cart_opens","src.tests","2026-09-13","passed","2026-09-13","","test_cart","",""
